MHs   MDM   MZp   BR(Hs->hh)    Xsec
500   1000  4000  2.619248e-01  1.3796288841001723e-05
500   1000  4500  2.619778e-01  7.227419628000466e-06
500   1000  5000  2.620201e-01  3.47261077500013e-06
600   400   700   2.478212e-01  1.3150723911613748e-05
600   400   800   2.481514e-01  3.9222962001938326e-05
600   400   900   2.484082e-01  0.00029547669700778913
600   400   1000  2.486136e-01  0.0004969955808098212
600   400   1250  2.489834e-01  0.000578369155907327
600   400   1500  2.492300e-01  0.0004728540030030248
600   400   1750  2.494061e-01  0.00042212477600139494
600   400   2000  2.495381e-01  0.000377999928000656
600   400   2500  2.497230e-01  0.0002400903990001489
600   400   3000  2.498463e-01  0.000126267358400038
600   400   3500  2.499343e-01  6.008567870001073e-05
600   400   4000  2.500004e-01  2.7588403430003577e-05
600   400   4500  2.500517e-01  1.2129125570001502e-05
600   400   5000  2.500928e-01  5.16999973800082e-06
600   500   900   2.484082e-01  8.306238000510221e-06
600   500   1000  2.486136e-01  2.3765206700661734e-05
600   500   1250  2.489834e-01  0.0002969769339033383
600   500   1500  2.492300e-01  0.00032346600975221326
600   500   1750  2.494061e-01  0.0002712144431011298
600   500   2000  2.495381e-01  0.00024316384800055643
600   500   2500  2.497230e-01  0.00017772368100013418
600   500   3000  2.498463e-01  0.00010242665160003315
600   500   3500  2.499343e-01  5.167156650000875e-05
600   500   4000  2.500004e-01  2.4342956000002806e-05
600   500   4500  2.500517e-01  1.0974469220001046e-05
600   500   5000  2.500928e-01  4.773565884000514e-06
600   600   1250  2.489834e-01  4.271853790052845e-05
600   600   1500  2.492300e-01  0.00017825951380124157
600   600   1750  2.494061e-01  0.00018484155904482843
600   600   2000  2.495381e-01  0.0001583265165004521
600   600   2500  2.497230e-01  0.00012416288230011777
600   600   3000  2.498463e-01  7.966763400002951e-05
600   600   3500  2.499343e-01  4.30731585000077e-05
600   600   4000  2.500004e-01  2.1168865080002215e-05
600   600   4500  2.500517e-01  9.807688740000775e-06
600   600   5000  2.500928e-01  4.353901100000333e-06
600   700   1250  2.489834e-01  2.7774080900736154e-06
600   700   1500  2.492300e-01  4.442364680032456e-05
600   700   1750  2.494061e-01  0.00010737200725729335
600   700   2000  2.495381e-01  0.00010729751295033325
600   700   2500  2.497230e-01  8.370752050009828e-05
600   700   3000  2.498463e-01  5.93291830000259e-05
600   700   3500  2.499343e-01  3.474525834000676e-05
600   700   4000  2.500004e-01  1.7884774600001888e-05
600   700   4500  2.500517e-01  8.638747210000592e-06
600   700   5000  2.500928e-01  3.8784186000002335e-06
600   800   1500  2.492300e-01  2.3023174000314588e-06
600   800   1750  2.494061e-01  3.6342447400172904e-05
600   800   2000  2.495381e-01  6.570471984211047e-05
600   800   2500  2.497230e-01  5.629862090008065e-05
600   800   3000  2.498463e-01  4.26291880000226e-05
